81 -- 11/1/2019 -- 71 -- 5 -- &s
19 -- 5/8/2019 -- 25 -- 5 -- &s
88 -- 4/1/2019 -- 9 -- 5 -- &s
105 -- 12/24/2018 -- 2 -- 5 -- &s
30 -- 11/9/2019 -- 53 -- 5 -- &s
75 -- 5/30/2019 -- 43 -- 5 -- &s
92 -- 10/7/2019 -- 8 -- 5 -- &s
92 -- 11/5/2019 -- 49 -- 5 -- &s
72 -- 11/27/2018 -- 50 -- 5 -- &s
94 -- 3/23/2019 -- 88 -- 5 -- &s
18 -- 11/17/2019 -- 60 -- 5 -- &s
103 -- 3/9/2019 -- 13 -- 5 -- &s
76 -- 7/13/2019 -- 42 -- 5 -- &s
92 -- 3/31/2019 -- 66 -- 5 -- &s
45 -- 6/24/2019 -- 25 -- 5 -- &s
98 -- 2/1/2019 -- 40 -- 5 -- &s
101 -- 8/5/2019 -- 59 -- 5 -- &s
20 -- 7/17/2019 -- 20 -- 5 -- &s
89 -- 8/7/2019 -- 10 -- 5 -- &s
74 -- 9/18/2019 -- 58 -- 5 -- &s
101 -- 4/7/2019 -- 19 -- 5 -- &s
88 -- 10/6/2019 -- 15 -- 5 -- &s
