24 -- 2/23/2019 -- 23 -- 4 -- &s
13 -- 4/23/2019 -- 49 -- 4 -- &s
80 -- 3/28/2019 -- 4 -- 4 -- &s
105 -- 9/7/2019 -- 43 -- 4 -- &s
15 -- 3/27/2019 -- 33 -- 4 -- &s
105 -- 7/2/2019 -- 59 -- 4 -- &s
29 -- 5/2/2019 -- 17 -- 4 -- &s
30 -- 1/29/2019 -- 50 -- 4 -- &s
87 -- 5/15/2019 -- 14 -- 4 -- &s
9 -- 12/28/2018 -- 67 -- 4 -- &s
40 -- 3/8/2019 -- 37 -- 4 -- &s
35 -- 11/1/2019 -- 76 -- 4 -- &s
7 -- 6/3/2019 -- 71 -- 4 -- &s
89 -- 4/14/2019 -- 45 -- 4 -- &s
66 -- 12/16/2018 -- 2 -- 4 -- &s
104 -- 3/21/2019 -- 59 -- 4 -- &s
14 -- 11/2/2019 -- 3 -- 4 -- &s
97 -- 3/30/2019 -- 82 -- 4 -- &s
