86 -- 8/10/2019 -- 43 -- 2 -- &s
13 -- 7/3/2019 -- 74 -- 2 -- &s
85 -- 12/2/2018 -- 12 -- 2 -- &s
67 -- 1/5/2019 -- 90 -- 2 -- &s
53 -- 5/12/2019 -- 66 -- 2 -- &s
21 -- 9/13/2019 -- 16 -- 2 -- &s
79 -- 3/19/2019 -- 52 -- 2 -- &s
72 -- 3/18/2019 -- 2 -- 2 -- &s
54 -- 1/8/2019 -- 90 -- 2 -- &s
33 -- 10/27/2019 -- 56 -- 2 -- &s
31 -- 5/14/2019 -- 76 -- 2 -- &s
22 -- 11/18/2019 -- 29 -- 2 -- &s
26 -- 11/10/2019 -- 25 -- 2 -- &s
80 -- 11/30/2018 -- 23 -- 2 -- &s
35 -- 2/6/2019 -- 79 -- 2 -- &s
97 -- 8/19/2019 -- 78 -- 2 -- &s
78 -- 5/16/2019 -- 76 -- 2 -- &s
24 -- 1/1/2019 -- 70 -- 2 -- &s
73 -- 6/4/2019 -- 33 -- 2 -- &s
90 -- 11/23/2018 -- 79 -- 2 -- &s
10 -- 8/13/2019 -- 40 -- 2 -- &s
47 -- 11/25/2018 -- 21 -- 2 -- &s
76 -- 7/12/2019 -- 75 -- 2 -- &s
33 -- 12/10/2018 -- 95 -- 2 -- &s
21 -- 6/27/2019 -- 7 -- 2 -- &s
